Number: 6980368, Binary: 11010101000001100010000, Hexadecimal: 6A8310
Number: 6359493, Binary: 11000010000100111000101, Hexadecimal: 6109C5
Number: 1967646, Binary: 111100000011000011110, Hexadecimal: 1E061E
Number: 6575052, Binary: 11001000101001111001100, Hexadecimal: 6453CC
Number: 2323342, Binary: 1000110111001110001110, Hexadecimal: 23738E
Number: 6735760, Binary: 11001101100011110010000, Hexadecimal: 66C790
Number: 8895858, Binary: 100001111011110101110010, Hexadecimal: 87BD72
Number: 4238091, Binary: 10000001010101100001011, Hexadecimal: 40AB0B
Number: 7093069, Binary: 11011000011101101001101, Hexadecimal: 6C3B4D
Number: 39, Binary: 100111, Hexadecimal: 27
Execution Time: 0.00 seconds
Number: -39, Binary: 011001, Hexadecimal: 
Number: -36, Binary: 011100, Hexadecimal: 
Number: 8, Binary: 1000, Hexadecimal: 8
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 5, Binary: 101, Hexadecimal: 5
Number: 39, Binary: 100111, Hexadecimal: 27
Number: 0, Binary: 0, Hexadecimal: 0
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 12, Binary: 1100, Hexadecimal: C
Number: -6, Binary: 010, Hexadecimal: 
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: -4, Binary: 100, Hexadecimal: 
Number: -38, Binary: 011010, Hexadecimal: 
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 42, Binary: 101010, Hexadecimal: 2A
Number: -16, Binary: 10000, Hexadecimal: 
Number: -28, Binary: 00100, Hexadecimal: 
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 20, Binary: 10100, Hexadecimal: 14
Number: 0, Binary: 0, Hexadecimal: 0
Number: 25, Binary: 11001, Hexadecimal: 19
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: 3, Binary: 11, Hexadecimal: 3
Number: -46, Binary: 010010, Hexadecimal: 
Number: -46, Binary: 010010, Hexadecimal: 
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -5, Binary: 011, Hexadecimal: 
Number: -36, Binary: 011100, Hexadecimal: 
Number: 12, Binary: 1100, Hexadecimal: C
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: -50, Binary: 001110, Hexadecimal: 
Number: 0, Binary: 0, Hexadecimal: 0
Number: -6, Binary: 010, Hexadecimal: 
Number: -39, Binary: 011001, Hexadecimal: 
Number: 35, Binary: 100011, Hexadecimal: 23
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -35, Binary: 011101, Hexadecimal: 
Number: -42, Binary: 010110, Hexadecimal: 
Number: 14, Binary: 1110, Hexadecimal: E
Number: -3, Binary: 01, Hexadecimal: 
Number: 22, Binary: 10110, Hexadecimal: 16
Number: -47, Binary: 010001, Hexadecimal: 
Number: 12, Binary: 1100, Hexadecimal: C
Number: -17, Binary: 01111, Hexadecimal: 
Number: -31, Binary: 00001, Hexadecimal: 
Number: -25, Binary: 00111, Hexadecimal: 
Number: -35, Binary: 011101, Hexadecimal: 
Number: -18, Binary: 01110, Hexadecimal: 
Number: 14, Binary: 1110, Hexadecimal: E
Number: 37, Binary: 100101, Hexadecimal: 25
Number: -8, Binary: 1000, Hexadecimal: 
Number: -41, Binary: 010111, Hexadecimal: 
Number: -50, Binary: 001110, Hexadecimal: 
Number: -9, Binary: 0111, Hexadecimal: 
Number: 2, Binary: 10, Hexadecimal: 2
Number: 12, Binary: 1100, Hexadecimal: C
Number: -39, Binary: 011001, Hexadecimal: 
Number: -17, Binary: 01111, Hexadecimal: 
Number: 0, Binary: 0, Hexadecimal: 0
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: 28, Binary: 11100, Hexadecimal: 1C
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: -44, Binary: 010100, Hexadecimal: 
Number: 28, Binary: 11100, Hexadecimal: 1C
Number: 35, Binary: 100011, Hexadecimal: 23
Number: -33, Binary: 011111, Hexadecimal: 
Number: 43, Binary: 101011, Hexadecimal: 2B
Number: -4, Binary: 100, Hexadecimal: 
Number: 23, Binary: 10111, Hexadecimal: 17
Number: -49, Binary: 001111, Hexadecimal: 
Number: 49, Binary: 110001, Hexadecimal: 31
Number: -7, Binary: 001, Hexadecimal: 
Number: -38, Binary: 011010, Hexadecimal: 
Number: -45, Binary: 010011, Hexadecimal: 
Number: 5, Binary: 101, Hexadecimal: 5
Number: -21, Binary: 01011, Hexadecimal: 
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -2, Binary: 10, Hexadecimal: 
Number: -24, Binary: 01000, Hexadecimal: 
Number: 6, Binary: 110, Hexadecimal: 6
Number: -45, Binary: 010011, Hexadecimal: 
Number: -4, Binary: 100, Hexadecimal: 
Number: 15, Binary: 1111, Hexadecimal: F
Number: 0, Binary: 0, Hexadecimal: 0
Number: -17, Binary: 01111, Hexadecimal: 
Number: -35, Binary: 011101, Hexadecimal: 
Number: 43, Binary: 101011, Hexadecimal: 2B
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: -35, Binary: 011101, Hexadecimal: 
Number: -8, Binary: 1000, Hexadecimal: 
Number: 28, Binary: 11100, Hexadecimal: 1C
Number: 47, Binary: 101111, Hexadecimal: 2F
Number: 34, Binary: 100010, Hexadecimal: 22
Number: -24, Binary: 01000, Hexadecimal: 
Number: -42, Binary: 010110, Hexadecimal: 
Number: -13, Binary: 0011, Hexadecimal: 
Number: 14, Binary: 1110, Hexadecimal: E
Number: -45, Binary: 010011, Hexadecimal: 
Number: -35, Binary: 011101, Hexadecimal: 
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: -12, Binary: 0100, Hexadecimal: 
Number: -19, Binary: 01101, Hexadecimal: 
Number: -20, Binary: 01100, Hexadecimal: 
Number: -14, Binary: 0010, Hexadecimal: 
Number: 20, Binary: 10100, Hexadecimal: 14
Number: 30, Binary: 11110, Hexadecimal: 1E
Number: 12, Binary: 1100, Hexadecimal: C
Number: -36, Binary: 011100, Hexadecimal: 
Number: -47, Binary: 010001, Hexadecimal: 
Number: -27, Binary: 00101, Hexadecimal: 
Number: -3, Binary: 01, Hexadecimal: 
Number: 6, Binary: 110, Hexadecimal: 6
Number: 36, Binary: 100100, Hexadecimal: 24
Number: 9, Binary: 1001, Hexadecimal: 9
Number: -16, Binary: 10000, Hexadecimal: 
Number: 36, Binary: 100100, Hexadecimal: 24
Number: -27, Binary: 00101, Hexadecimal: 
Number: 7, Binary: 111, Hexadecimal: 7
Number: -6, Binary: 010, Hexadecimal: 
Number: -5, Binary: 011, Hexadecimal: 
Number: 5, Binary: 101, Hexadecimal: 5
Number: 47, Binary: 101111, Hexadecimal: 2F
Number: 23, Binary: 10111, Hexadecimal: 17
Number: -48, Binary: 010000, Hexadecimal: 
Number: -24, Binary: 01000, Hexadecimal: 
Number: 40, Binary: 101000, Hexadecimal: 28
Number: -4, Binary: 100, Hexadecimal: 
Number: -18, Binary: 01110, Hexadecimal: 
Number: -19, Binary: 01101, Hexadecimal: 
Number: 14, Binary: 1110, Hexadecimal: E
Number: 15, Binary: 1111, Hexadecimal: F
Number: 1, Binary: 1, Hexadecimal: 1
Number: 24, Binary: 11000, Hexadecimal: 18
Number: -9, Binary: 0111, Hexadecimal: 
Number: -50, Binary: 001110, Hexadecimal: 
Number: 18, Binary: 10010, Hexadecimal: 12
Number: 15, Binary: 1111, Hexadecimal: F
Number: 30, Binary: 11110, Hexadecimal: 1E
Number: 44, Binary: 101100, Hexadecimal: 2C
Number: 9, Binary: 1001, Hexadecimal: 9
Number: 19, Binary: 10011, Hexadecimal: 13
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 41, Binary: 101001, Hexadecimal: 29
Number: -24, Binary: 01000, Hexadecimal: 
Number: 43, Binary: 101011, Hexadecimal: 2B
Number: 48, Binary: 110000, Hexadecimal: 30
Number: -23, Binary: 01001, Hexadecimal: 
Number: 7, Binary: 111, Hexadecimal: 7
Number: 28, Binary: 11100, Hexadecimal: 1C
Number: 8, Binary: 1000, Hexadecimal: 8
Number: -2, Binary: 10, Hexadecimal: 
Number: 37, Binary: 100101, Hexadecimal: 25
Number: 42, Binary: 101010, Hexadecimal: 2A
Number: -17, Binary: 01111, Hexadecimal: 
Number: -6, Binary: 010, Hexadecimal: 
Number: 36, Binary: 100100, Hexadecimal: 24
Number: 22, Binary: 10110, Hexadecimal: 16
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: 31, Binary: 11111, Hexadecimal: 1F
Number: -47, Binary: 010001, Hexadecimal: 
Number: -43, Binary: 010101, Hexadecimal: 
Number: 0, Binary: 0, Hexadecimal: 0
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: 30, Binary: 11110, Hexadecimal: 1E
Number: 12, Binary: 1100, Hexadecimal: C
Number: -15, Binary: 0001, Hexadecimal: 
Number: -19, Binary: 01101, Hexadecimal: 
Number: -42, Binary: 010110, Hexadecimal: 
Number: -37, Binary: 011011, Hexadecimal: 
Number: 31, Binary: 11111, Hexadecimal: 1F
Number: -10, Binary: 0110, Hexadecimal: 
Number: 18, Binary: 10010, Hexadecimal: 12
Number: 33, Binary: 100001, Hexadecimal: 21
Number: -15, Binary: 0001, Hexadecimal: 
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 25, Binary: 11001, Hexadecimal: 19
Number: -25, Binary: 00111, Hexadecimal: 
Number: -5, Binary: 011, Hexadecimal: 
Number: 33, Binary: 100001, Hexadecimal: 21
Number: -13, Binary: 0011, Hexadecimal: 
Number: 33, Binary: 100001, Hexadecimal: 21
Number: -10, Binary: 0110, Hexadecimal: 
Number: 47, Binary: 101111, Hexadecimal: 2F
Number: 47, Binary: 101111, Hexadecimal: 2F
Number: -13, Binary: 0011, Hexadecimal: 
Number: -32, Binary: 100000, Hexadecimal: 
Number: 1, Binary: 1, Hexadecimal: 1
Number: 1, Binary: 1, Hexadecimal: 1
Number: -25, Binary: 00111, Hexadecimal: 
Number: -33, Binary: 011111, Hexadecimal: 
Number: 16, Binary: 10000, Hexadecimal: 10
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 4, Binary: 100, Hexadecimal: 4
Execution Time: 0.00 seconds
Number: -39, Binary: 011001, Hexadecimal: 
Number: -36, Binary: 011100, Hexadecimal: 
Number: 8, Binary: 1000, Hexadecimal: 8
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 5, Binary: 101, Hexadecimal: 5
Number: 0, Binary: 0, Hexadecimal: 0
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 12, Binary: 1100, Hexadecimal: C
Number: -6, Binary: 010, Hexadecimal: 
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: -4, Binary: 100, Hexadecimal: 
Number: -38, Binary: 011010, Hexadecimal: 
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 42, Binary: 101010, Hexadecimal: 2A
Number: -16, Binary: 10000, Hexadecimal: 
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 20, Binary: 10100, Hexadecimal: 14
Number: 0, Binary: 0, Hexadecimal: 0
Number: 25, Binary: 11001, Hexadecimal: 19
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: 3, Binary: 11, Hexadecimal: 3
Number: -46, Binary: 010010, Hexadecimal: 
Number: -46, Binary: 010010, Hexadecimal: 
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -5, Binary: 011, Hexadecimal: 
Number: -36, Binary: 011100, Hexadecimal: 
Number: 12, Binary: 1100, Hexadecimal: C
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: -50, Binary: 001110, Hexadecimal: 
Number: 0, Binary: 0, Hexadecimal: 0
Number: -6, Binary: 010, Hexadecimal: 
Execution Time: 0.00 seconds
